word,start_time,end_time,speaker,text,confidence,processed_text,classes,hate,sentiment_word,Severity,Normalized Severity
මිනිසාම,0.0,1.1,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,0.0,4,4
ලොව,1.1,1.4,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,0.0,4,4
දෙව,1.4,1.9,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,0.0,4,4
ව,1.1,1.4,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,1.0,3,3
මිනිසාම,0.0,1.1,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,1.0,3,3
ලොව,1.1,1.4,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,0.0,4,4
තිරිස,6.4,6.8,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,0.0,4,4
ව,1.1,1.4,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,0.0,4,4
මිනිසාම,0.0,1.1,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,0.0,4,4
ලොව,1.1,1.4,0,මිනිසාමයි ලොව දෙවියන් වන්නේ මිනිසාමයි ලොව තිරිසන් වන්නේ මිනිසාමයි ලොව,0.8193386197090149,මිනිසාම ලොව දෙව ව මිනිසාම ලොව තිරිස ව මිනිසාම ලොව,Religious,0.8841688,0.0,4,4
